,0,1,,,,,,,,,,
0,VITAMIN B1 (THIAMINE),THIAMINE,,,,,,,,,,
1,DOXORUBICIN HYDROCHLORIDE (PEGYLATED),PEGYLATED,,,,,,,,,,
2,ASA (ACETYLSALICYLIC ACID),ACETYLSALICYLIC ACID,,,,,,,,,,
3,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
4,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
5,VITAMIN B1 (THIAMINE),THIAMINE,,,,,,,,,,
6,ASA (ACETYLSALICYLIC ACID),ACETYLSALICYLIC ACID,,,,,,,,,,HUMAN
7,ALBUMIN (HUMAN),HUMAN,,,,,,,,,,HUMAN PLASMA DERIVED
8,ARTIFICIAL TEARS (CARBOMER),CARBOMER,,,,,,,,,,CONCENTRATED
9,COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),HUMAN PLASMA DERIVED,,,,,,,,,,RECOMBINANT
10,PROSTAGLANDIN E1 (ALPROSTADIL),ALPROSTADIL,,,,,,,,,,
11,ALBUMIN (HUMAN),HUMAN,,,,,,,,,,
12,CHORIONIC GONADOTROPHIN (HUMAN),HUMAN,,,,,,,,,,
13,PHOSPHATE (ORGANIC),ORGANIC,,,,,,,,,,
14,VITAMIN B2 (RIBOFLAVIN),RIBOFLAVIN,,,,,,,,,,
15,PROTHROMBIN COMPLEX (CONCENTRATED),CONCENTRATED,,,,,,,,,,
16,VITAMIN K1 (PHYTOMENADIONE),PHYTOMENADIONE,,,,,,,,,,
17,ASA (ACETYLSALICYLIC ACID),ACETYLSALICYLIC ACID,,,,,,,,,,
18,ASA (ACETYLSALICYLIC ACID),ACETYLSALICYLIC ACID,,,,,,,,,,
19,ARTIFICIAL TEARS (HYALURONATE SODIUM),HYALURONATE SODIUM,,,,,,,,,,
20,POTASSIUM AMINOBENZOIC ACID (POTABA),POTABA,,,,,,,,,,
21,VITAMIN K1 (PHYTOMENADIONE),PHYTOMENADIONE,,,,,,,,,,
22,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
23,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),IMMUNE GLOBULIN,,,,,,,,,,
24,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),IMMUNE GLOBULIN,,,,,,,,,,
25,COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),HUMAN PLASMA DERIVED,,,,,,,,,,
26,VITAMIN K1 (PHYTOMENADIONE),PHYTOMENADIONE,,,,,,,,,,
27,ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED),CONCENTRATED,,,,,,,,,,
28,ARTIFICIAL TEARS (HYALURONATE SODIUM),HYALURONATE SODIUM,,,,,,,,,,
29,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
30,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
31,ARTIFICIAL TEARS (HYALURONATE SODIUM),HYALURONATE SODIUM,,,,,,,,,,
32,ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE),HYALURONATE SODIUM / TS-POLYSACCARIDE,,,,,,,,,,
33,ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE),HYALURONATE SODIUM / TS-POLYSACCARIDE,,,,,,,,,,
34,SURFACTANT (BOVINE LIPID EXTRACT),BOVINE LIPID EXTRACT,,,,,,,,,,
35,ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED),CONCENTRATED,,,,,,,,,,
36,SIMETHICONE (DIMETHICONE ACTIVATED),DIMETHICONE ACTIVATED,,,,,,,,,,
37,PROSTAGLANDIN E1 (ALPROSTADIL),ALPROSTADIL,,,,,,,,,,
38,CHORIONIC GONADOTROPHIN (HUMAN),HUMAN,,,,,,,,,,
39,COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),HUMAN PLASMA DERIVED,,,,,,,,,,
40,POTASSIUM AMINOBENZOIC ACID (POTABA),POTABA,,,,,,,,,,
41,COAGULATION FACTOR VIII (RECOMBINANT),RECOMBINANT,,,,,,,,,,
